school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Riviera Elementary,Kelseyville Unified,2010-11,279,Natural Disasters & Weather,Inclement Weather,"Snow day-inclement weather, unsafe roads and power outages.","February 17-18, 2011, and February 25, 2011",2011,3,1.76401E+13,Lake
Riviera Elementary,Kelseyville Unified,2014-15,273,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter Storm,11-Dec-14,2014,1,1.76401E+13,Lake
Riviera High,Kelseyville Unified,2010-11,3,Natural Disasters & Weather,Inclement Weather,"Snow day-inclement weather, unsafe roads and power outages.","February 17-18, 2011, and February 25, 2011",2011,3,1.76401E+13,Lake
Adaline E. Kent Middle,Kentfield Elementary,2005-06,443,Natural Disasters & Weather,Inclement Weather,Unusually high rainfall over December 31st weekend causing flooding in classrooms,"January 3 and 4, 2006",2006,2,2.16533E+13,Marin
Adaline E. Kent Middle,Kentfield Elementary,2014-15,523,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm.,11-Dec-14,2014,1,2.16533E+13,Marin
Adaline E. Kent Middle,Kentfield Elementary,2016-17,600,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in flooding,7-Feb-17,2017,1,2.16533E+13,Marin
Adaline E. Kent Middle,Kentfield Elementary,2016-17,600,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in flooding.,9-Feb-17,2017,1,2.16533E+13,Marin
Anthony G. Bacich Elementary,Kentfield Elementary,2014-15,699,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm.,11-Dec-14,2014,1,2.16533E+13,Marin
Anthony G. Bacich Elementary,Kentfield Elementary,2016-17,656,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in flooding,7-Feb-17,2017,1,2.16533E+13,Marin
Anthony G. Bacich Elementary,Kentfield Elementary,2016-17,656,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in flooding.,9-Feb-17,2017,1,2.16533E+13,Marin
Alpine Elementary,Keppel Union Elementary,2002-03,527,Natural Disasters & Weather,Inclement Weather,Inclement weather resulting in impassable/unsafe road conditions for bussing.,13-Feb-03,2003,1,1.96464E+13,Los Angeles
Alpine Elementary,Keppel Union Elementary,2004-05,560,Natural Disasters & Weather,Inclement Weather,Inclement weather (rain) caused unsafe driving conditions for bussing.,"January 10 and 11, 2005",2005,2,1.96464E+13,Los Angeles
Antelope Elementary,Keppel Union Elementary,2002-03,254,Natural Disasters & Weather,Inclement Weather,Inclement weather resulting in impassable/unsafe road conditions for bussing.,13-Feb-03,2003,1,1.96464E+13,Los Angeles
Antelope Elementary,Keppel Union Elementary,2004-05,293,Natural Disasters & Weather,Inclement Weather,Inclement weather (rain) caused unsafe driving conditions for bussing.,"January 10 and 11, 2005",2005,2,1.96464E+13,Los Angeles
Daisy Gibson Elementary,Keppel Union Elementary,2002-03,617,Natural Disasters & Weather,Inclement Weather,Inclement weather resulting in impassable/unsafe road conditions for bussing.,13-Feb-03,2003,1,1.96464E+13,Los Angeles
Daisy Gibson Elementary,Keppel Union Elementary,2004-05,617,Natural Disasters & Weather,Inclement Weather,Inclement weather (rain) caused unsafe driving conditions for bussing.,"January 10 and 11, 2005",2005,2,1.96464E+13,Los Angeles
Keppel Academy,Keppel Union Elementary,2002-03,589,Natural Disasters & Weather,Inclement Weather,Inclement weather resulting in impassable/unsafe road conditions for bussing.,13-Feb-03,2003,1,1.96464E+13,Los Angeles
Keppel Academy,Keppel Union Elementary,2004-05,621,Natural Disasters & Weather,Inclement Weather,Inclement weather (rain) caused unsafe driving conditions for bussing.,"January 10 and 11, 2005",2005,2,1.96464E+13,Los Angeles
Lake Los Angeles Elementary,Keppel Union Elementary,2002-03,533,Natural Disasters & Weather,Inclement Weather,Inclement weather resulting in impassable/unsafe road conditions for bussing.,13-Feb-03,2003,1,1.96464E+13,Los Angeles
Lake Los Angeles Elementary,Keppel Union Elementary,2004-05,554,Natural Disasters & Weather,Inclement Weather,Inclement weather (rain) caused unsafe driving conditions for bussing.,"January 10 and 11, 2005",2005,2,1.96464E+13,Los Angeles
Pearblossom Elementary,Keppel Union Elementary,2002-03,404,Natural Disasters & Weather,Inclement Weather,Inclement weather resulting in impassable/unsafe road conditions for bussing.,13-Feb-03,2003,1,1.96464E+13,Los Angeles
Pearblossom Elementary,Keppel Union Elementary,2004-05,410,Natural Disasters & Weather,Inclement Weather,Inclement weather (rain) caused unsafe driving conditions for bussing.,"January 10 and 11, 2005",2005,2,1.96464E+13,Los Angeles
Kern County Juvenile Court,Kern County Office of Education,2016-17,283,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in dangerous roadways and road closures.,20-Jan-17,2017,1,,Kern
Kern County Special Education,Kern County Office of Education,2010-11,549,Natural Disasters & Weather,Inclement Weather,Snow and ice with road closures. County special day class located on the campus of Irving L. Branch Elementary.,3-Jan-11,2011,1,,Kern
Kern County Special Education,Kern County Office of Education,2012-13,544,Natural Disasters & Weather,Inclement Weather,Kern County Special Education classes at Mojave Elementary school were canceled because Mojave Elementary closed school for the day due to rare and unpredictable storm conditions.,20-Feb-13,2013,1,,Kern
Kern County Special Education,Kern County Office of Education,2016-17,455,Natural Disasters & Weather,Inclement Weather,"Unsafe driving conditions, heavy fog, school buses were not able to transport children safely. Wasco Elementary Union SD, Wasco High School District and Rio Bravo-Greeley District",31-Jan-17,2017,1,,Kern
Kern Valley High,Kern High,2004-05,682,Natural Disasters & Weather,Inclement Weather,Inclement weather - impassable roads snow,7-Jan-05,2005,1,1.56353E+13,Kern
Kern Valley High,Kern High,2016-17,433,Natural Disasters & Weather,Inclement Weather,"School closure due to sever winter storm, impassable roads due to flooding, snow, and ice.",23-Jan-17,2017,1,1.56353E+13,Kern
South High,Kern High,2014-15,1967,Natural Disasters & Weather,Pineapple Express,"""Pineapple Express"" - Storm caused high winds and flooding.",12-Dec-14,2014,1,1.56353E+13,Kern
Kern Valley High,Kern Union High,2008-09,637,Natural Disasters & Weather,Inclement Weather,Snow and ice - impassable roads.,15-Dec-08,2008,1,,Kern
Kirkwood Elementary,Kirkwood Elementary,2014-15,91,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm caused flooding and road closures,"December 11-12, 2014",2014,2,5.27156E+13,Tehama
Klamath River Elementary,Klamath River Union Elementary,2003-04,31,Natural Disasters & Weather,Inclement Weather,Loss of power due to winter storm,30-Jan-04,2004,1,4.77038E+13,Siskiyou
Klamath River Elementary,Klamath River Union Elementary,2003-04,31,Natural Disasters & Weather,Inclement Weather,Loss of power due to winter storm,7-Jan-04,2004,1,4.77038E+13,Siskiyou
Klamath River Elementary,Klamath River Union Elementary,2007-08,16,Natural Disasters & Weather,Inclement Weather,Power failure-no electricity and heavy snow conditions.,"January 8 through 9, 2008",2008,2,4.77038E+13,Siskiyou
Klamath River Elementary,Klamath River Union Elementary,2016-17,23,Natural Disasters & Weather,Inclement Weather,"Power outages, road closures and deep snow prevented school attendance","January 9-13, 2017",2017,5,4.77038E+13,Siskiyou
Klamath River Union Elementary,Klamath River Union Elementary,2002-03,35,Natural Disasters & Weather,Inclement Weather,Winter Storm,16-Dec-02,2002,1,,Siskiyou
Captain John Continuation High,Klamath-Trinity Joint Unified,2004-05,49,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages and road closures,10-Jan-05,2005,1,1.2629E+13,Humboldt
Captain John Continuation High,Klamath-Trinity Joint Unified,2005-06,38,Natural Disasters & Weather,Inclement Weather,"Area suffered from days of torrential rains, high winds, flooding mudslides, and falling trees that shut down all roads, power and water systems.","January 3 through 6, 2006",2006,4,1.2629E+13,Humboldt
Captain John Continuation High,Klamath-Trinity Joint Unified,2005-06,38,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages.,10-Mar-06,2006,1,1.2629E+13,Humboldt
Captain John Continuation High,Klamath-Trinity Joint Unified,2006-07,38,Natural Disasters & Weather,Inclement Weather,severe snow storms causing power outages and road closures,"February 22, 23, 27, and 28, 2007",2007,4,1.2629E+13,Humboldt
Captain John Continuation High,Klamath-Trinity Joint Unified,2013-14,43,Natural Disasters & Weather,Inclement Weather,Snow,"December 10-11, 2013",2013,2,1.2629E+13,Humboldt
Captain John Continuation High,Klamath-Trinity Joint Unified,2015-16,40,Natural Disasters & Weather,Inclement Weather,Landslides cut off access to the school for many students and staff,29-Jan-16,2016,1,1.2629E+13,Humboldt
Captain John Continuation High,Klamath-Trinity Joint Unified,2016-17,26,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outage and road closures.,6-Mar-17,2017,1,1.2629E+13,Humboldt
Captain John Continuation High,Klamath-Trinity Joint Unified,2016-17,26,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outages and road closures,"January 2-6, 2017",2017,5,1.2629E+13,Humboldt
Captain John Continuation High,Klamath-Trinity Joint Unified,2017-18,32,Natural Disasters & Weather,Inclement Weather,snow,22-Feb-18,2018,1,1.2629E+13,Humboldt
Captain John Continuation High,Klamath-Trinity Joint Unified,2018-19,33,Natural Disasters & Weather,Inclement Weather,Severe weather conditions,"February 11 and 13, 2019",2019,2,1.2629E+13,Humboldt
Hoopa Valley Elementary,Klamath-Trinity Joint Unified,2004-05,442,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages and road closures,10-Jan-05,2005,1,1.2629E+13,Humboldt
Hoopa Valley Elementary,Klamath-Trinity Joint Unified,2005-06,451,Natural Disasters & Weather,Inclement Weather,"Area suffered from days of torrential rains, high winds, flooding mudslides, and falling trees that shut down all roads, power and water systems.","January 3 through 6, 2006",2006,4,1.2629E+13,Humboldt
Hoopa Valley Elementary,Klamath-Trinity Joint Unified,2005-06,451,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages.,10-Mar-06,2006,1,1.2629E+13,Humboldt
Hoopa Valley Elementary,Klamath-Trinity Joint Unified,2006-07,447,Natural Disasters & Weather,Inclement Weather,severe snow storms causing power outages and road closures,"February 22, 23, 27, and 28, 2007",2007,4,1.2629E+13,Humboldt
Hoopa Valley Elementary,Klamath-Trinity Joint Unified,2013-14,476,Natural Disasters & Weather,Inclement Weather,Snow,"December 10-11, 2013",2013,2,1.2629E+13,Humboldt
Hoopa Valley Elementary,Klamath-Trinity Joint Unified,2015-16,465,Natural Disasters & Weather,Inclement Weather,Landslides cut off access to the school for many students and staff,29-Jan-16,2016,1,1.2629E+13,Humboldt
Hoopa Valley Elementary,Klamath-Trinity Joint Unified,2016-17,420,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outage and road closures.,6-Mar-17,2017,1,1.2629E+13,Humboldt
Hoopa Valley Elementary,Klamath-Trinity Joint Unified,2016-17,420,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outages and road closures,"January 2-6, 2017",2017,5,1.2629E+13,Humboldt
Hoopa Valley Elementary,Klamath-Trinity Joint Unified,2017-18,411,Natural Disasters & Weather,Inclement Weather,snow,22-Feb-18,2018,1,1.2629E+13,Humboldt
Hoopa Valley Elementary,Klamath-Trinity Joint Unified,2018-19,425,Natural Disasters & Weather,Inclement Weather,Severe weather conditions,"February 11 and 13, 2019",2019,2,1.2629E+13,Humboldt
Hoopa Valley High,Klamath-Trinity Joint Unified,2004-05,240,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages and road closures,10-Jan-05,2005,1,1.2629E+13,Humboldt
Hoopa Valley High,Klamath-Trinity Joint Unified,2005-06,216,Natural Disasters & Weather,Inclement Weather,"Area suffered from days of torrential rains, high winds, flooding mudslides, and falling trees that shut down all roads, power and water systems.","January 3 through 6, 2006",2006,4,1.2629E+13,Humboldt
Hoopa Valley High,Klamath-Trinity Joint Unified,2005-06,216,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages.,10-Mar-06,2006,1,1.2629E+13,Humboldt
Hoopa Valley High,Klamath-Trinity Joint Unified,2006-07,259,Natural Disasters & Weather,Inclement Weather,severe snow storms causing power outages and road closures,"February 22, 23, 27, and 28, 2007",2007,4,1.2629E+13,Humboldt
Hoopa Valley High,Klamath-Trinity Joint Unified,2013-14,236,Natural Disasters & Weather,Inclement Weather,Snow,"December 10-11, 2013",2013,2,1.2629E+13,Humboldt
Hoopa Valley High,Klamath-Trinity Joint Unified,2015-16,252,Natural Disasters & Weather,Inclement Weather,Landslides cut off access to the school for many students and staff,29-Jan-16,2016,1,1.2629E+13,Humboldt
Hoopa Valley High,Klamath-Trinity Joint Unified,2016-17,250,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outage and road closures.,6-Mar-17,2017,1,1.2629E+13,Humboldt
Hoopa Valley High,Klamath-Trinity Joint Unified,2016-17,250,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outages and road closures,"January 2-6, 2017",2017,5,1.2629E+13,Humboldt
Hoopa Valley High,Klamath-Trinity Joint Unified,2017-18,241,Natural Disasters & Weather,Inclement Weather,snow,22-Feb-18,2018,1,1.2629E+13,Humboldt
Hoopa Valley High,Klamath-Trinity Joint Unified,2018-19,243,Natural Disasters & Weather,Inclement Weather,Severe weather conditions,"February 11 and 13, 2019",2019,2,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2004-05,38,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages and road closures,10-Jan-05,2005,1,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2005-06,36,Natural Disasters & Weather,Inclement Weather,Road closure due to road collapse on State Route 169.,13-Feb-06,2006,1,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2005-06,36,Natural Disasters & Weather,Inclement Weather,"Area suffered from days of torrential rains, high winds, flooding mudslides, and falling trees that shut down all roads, power and water systems.","January 3 through 6, 2006",2006,4,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2005-06,36,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages.,10-Mar-06,2006,1,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2005-06,36,Natural Disasters & Weather,Inclement Weather,Road closure due to road collapse. One-way road slipped into river.,16-Mar-06,2006,1,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2006-07,36,Natural Disasters & Weather,Inclement Weather,severe snow storms causing power outages and road closures,"February 22, 23, 27, and 28, 2007",2007,4,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2006-07,36,Natural Disasters & Weather,Inclement Weather,road closure due to severe snow,27-Mar-07,2007,1,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2013-14,31,Natural Disasters & Weather,Inclement Weather,Snow,"December 10-11, 2013",2013,2,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2015-16,26,Natural Disasters & Weather,Inclement Weather,Landslides cut off access to the school for many students and staff,29-Jan-16,2016,1,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2016-17,29,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outage and road closures.,6-Mar-17,2017,1,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2016-17,29,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outages and road closures,"January 2-6, 2017",2017,5,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2016-17,29,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in road closures.,9-Feb-17,2017,1,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2017-18,31,Natural Disasters & Weather,Inclement Weather,snow,22-Feb-18,2018,1,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2018-19,34,Natural Disasters & Weather,Inclement Weather,Rockslide,9-Apr-19,2019,1,1.2629E+13,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2018-19,34,Natural Disasters & Weather,Inclement Weather,Severe weather conditions,"February 11 and 13, 2019",2019,2,1.2629E+13,Humboldt
Orleans Elementary,Klamath-Trinity Joint Unified,2004-05,45,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages and road closures,10-Jan-05,2005,1,1.2629E+13,Humboldt
Orleans Elementary,Klamath-Trinity Joint Unified,2005-06,51,Natural Disasters & Weather,Inclement Weather,"Area suffered from days of torrential rains, high winds, flooding mudslides, and falling trees that shut down all roads, power and water systems.","January 3 through 6, 2006",2006,4,1.2629E+13,Humboldt
Orleans Elementary,Klamath-Trinity Joint Unified,2005-06,51,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages.,10-Mar-06,2006,1,1.2629E+13,Humboldt
Orleans Elementary,Klamath-Trinity Joint Unified,2006-07,54,Natural Disasters & Weather,Inclement Weather,severe snow storms causing power outages and road closures,"February 22, 23, 27, and 28, 2007",2007,4,1.2629E+13,Humboldt
Orleans Elementary,Klamath-Trinity Joint Unified,2013-14,57,Natural Disasters & Weather,Inclement Weather,Snow,"December 10-11, 2013",2013,2,1.2629E+13,Humboldt
Orleans Elementary,Klamath-Trinity Joint Unified,2015-16,60,Natural Disasters & Weather,Inclement Weather,Landslides cut off access to the school for many students and staff,29-Jan-16,2016,1,1.2629E+13,Humboldt
Orleans Elementary,Klamath-Trinity Joint Unified,2016-17,77,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outage and road closures.,6-Mar-17,2017,1,1.2629E+13,Humboldt
Orleans Elementary,Klamath-Trinity Joint Unified,2016-17,77,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outages and road closures,"January 2-6, 2017",2017,5,1.2629E+13,Humboldt
Orleans Elementary,Klamath-Trinity Joint Unified,2017-18,79,Natural Disasters & Weather,Inclement Weather,snow,22-Feb-18,2018,1,1.2629E+13,Humboldt
Orleans Elementary,Klamath-Trinity Joint Unified,2018-19,86,Natural Disasters & Weather,Inclement Weather,Severe weather conditions,"February 11 and 13, 2019",2019,2,1.2629E+13,Humboldt
River's Edge Community Day,Klamath-Trinity Joint Unified,2013-14,7,Natural Disasters & Weather,Inclement Weather,Snow,"December 10-11, 2013",2013,2,1.2629E+13,Humboldt
River's Edge Community Day,Klamath-Trinity Joint Unified,2015-16,7,Natural Disasters & Weather,Inclement Weather,Landslides cut off access to the school for many students and staff,29-Jan-16,2016,1,1.2629E+13,Humboldt
Trinity Valley Elementary,Klamath-Trinity Joint Unified,2004-05,251,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages and road closures,10-Jan-05,2005,1,1.2629E+13,Humboldt
Trinity Valley Elementary,Klamath-Trinity Joint Unified,2005-06,231,Natural Disasters & Weather,Inclement Weather,"Area suffered from days of torrential rains, high winds, flooding mudslides, and falling trees that shut down all roads, power and water systems.","January 3 through 6, 2006",2006,4,1.2629E+13,Humboldt
Trinity Valley Elementary,Klamath-Trinity Joint Unified,2005-06,231,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages.,10-Mar-06,2006,1,1.2629E+13,Humboldt
Trinity Valley Elementary,Klamath-Trinity Joint Unified,2006-07,234,Natural Disasters & Weather,Inclement Weather,severe snow storms causing power outages and road closures,"February 22, 23, 27, and 28, 2007",2007,4,1.2629E+13,Humboldt
Trinity Valley Elementary,Klamath-Trinity Joint Unified,2013-14,165,Natural Disasters & Weather,Inclement Weather,Snow,"December 10-11, 2013",2013,2,1.2629E+13,Humboldt
Trinity Valley Elementary,Klamath-Trinity Joint Unified,2015-16,193,Natural Disasters & Weather,Inclement Weather,Landslides cut off access to the school for many students and staff,29-Jan-16,2016,1,1.2629E+13,Humboldt
Trinity Valley Elementary,Klamath-Trinity Joint Unified,2016-17,183,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outage and road closures.,6-Mar-17,2017,1,1.2629E+13,Humboldt
Trinity Valley Elementary,Klamath-Trinity Joint Unified,2016-17,183,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outages and road closures,"January 2-6, 2017",2017,5,1.2629E+13,Humboldt
Trinity Valley Elementary,Klamath-Trinity Joint Unified,2017-18,197,Natural Disasters & Weather,Inclement Weather,snow,22-Feb-18,2018,1,1.2629E+13,Humboldt
Trinity Valley Elementary,Klamath-Trinity Joint Unified,2018-19,184,Natural Disasters & Weather,Inclement Weather,Severe weather conditions,"February 11 and 13, 2019",2019,2,1.2629E+13,Humboldt
Two Rivers Community Day,Klamath-Trinity Joint Unified,2013-14,12,Natural Disasters & Weather,Inclement Weather,Snow,"December 10-11, 2013",2013,2,1.2629E+13,Humboldt
Two Rivers Community Day,Klamath-Trinity Joint Unified,2015-16,10,Natural Disasters & Weather,Inclement Weather,Landslides cut off access to the school for many students and staff,29-Jan-16,2016,1,1.2629E+13,Humboldt
Weitchpec Elementary,Klamath-Trinity Joint Unified,2004-05,11,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages and road closures,10-Jan-05,2005,1,1.2629E+13,Humboldt
Weitchpec Elementary,Klamath-Trinity Joint Unified,2005-06,12,Natural Disasters & Weather,Inclement Weather,"Area suffered from days of torrential rains, high winds, flooding mudslides, and falling trees that shut down all roads, power and water systems.","January 3 through 6, 2006",2006,4,1.2629E+13,Humboldt
Weitchpec Elementary,Klamath-Trinity Joint Unified,2005-06,12,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages.,10-Mar-06,2006,1,1.2629E+13,Humboldt
Weitchpec Elementary,Klamath-Trinity Joint Unified,2006-07,15,Natural Disasters & Weather,Inclement Weather,severe snow storms causing power outages and road closures,"February 22, 23, 27, and 28, 2007",2007,4,1.2629E+13,Humboldt
Weitchpec Elementary,Klamath-Trinity Joint Unified,2013-14,15,Natural Disasters & Weather,Inclement Weather,Snow,"December 10-11, 2013",2013,2,1.2629E+13,Humboldt
Weitchpec Elementary,Klamath-Trinity Joint Unified,2015-16,20,Natural Disasters & Weather,Inclement Weather,Landslides cut off access to the school for many students and staff,29-Jan-16,2016,1,1.2629E+13,Humboldt
Weitchpec Elementary,Klamath-Trinity Joint Unified,2016-17,14,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outages and road closures,"January 2-6, 2017",2017,5,1.2629E+13,Humboldt
Weitchpec Elementary,Klamath-Trinity Joint Unified,2017-18,10,Natural Disasters & Weather,Inclement Weather,snow,22-Feb-18,2018,1,1.2629E+13,Humboldt
Weitchpec Elementary,Klamath-Trinity Joint Unified,2018-19,14,Natural Disasters & Weather,Inclement Weather,Severe weather conditions,"February 11 and 13, 2019",2019,2,1.2629E+13,Humboldt
Kneeland Elementary,Kneeland Elementary,2002-03,40,Natural Disasters & Weather,Inclement Weather,"Heavy rain and snow fall, downed power lines resulting in power outage and road closures.","December 16 and 19, 2002",2002,2,1.26292E+13,Humboldt
Kneeland Elementary,Kneeland Elementary,2005-06,36,Natural Disasters & Weather,Inclement Weather,"Major pacific storms brough heavy rainfall, high winds, and flooding resulting in road closures and no heat, power, water or phone services.","January 3 and 4, 2006",2006,2,1.26292E+13,Humboldt
Kneeland Elementary,Kneeland Elementary,2005-06,36,Natural Disasters & Weather,Inclement Weather,Heavy snowfall and rainfall caused power outages and road closures.,"March 2, 6 and 10, 2006",2006,3,1.26292E+13,Humboldt
Kneeland Elementary,Kneeland Elementary,2006-07,31,Natural Disasters & Weather,Inclement Weather,"major storm caused power outage and unsafe/closed roads, , 2/26, 2/27, 2/28, 3/01, 3/02, 2007","February 26 through 28, 2007, and March 1 and 2, 2007",2007,5,1.26292E+13,Humboldt
Kneeland Elementary,Kneeland Elementary,2007-08,22,Natural Disasters & Weather,Inclement Weather,heavy snow and unsafe roads,"January 28 and 29, 2008",2008,2,1.26292E+13,Humboldt
Kneeland Elementary,Kneeland Elementary,2008-09,25,Natural Disasters & Weather,Inclement Weather,Snow storm caused dangerous road conditions.,"February 11-13, 2009",2009,3,1.26292E+13,Humboldt
Kneeland Elementary,Kneeland Elementary,2010-11,34,Natural Disasters & Weather,Tsunami,Tsunami,11-Mar-11,2011,1,1.26292E+13,Humboldt
Kneeland Elementary,Kneeland Elementary,2016-17,29,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in hazardous road conditions and closures. Busses were cancelled.,6-Mar-17,2017,1,1.26292E+13,Humboldt
Kneeland Elementary,Kneeland Elementary,2016-17,29,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in power outage and road closures.,9-Feb-17,2017,1,1.26292E+13,Humboldt
Kneeland Elementary,Kneeland Elementary,2016-17,29,Natural Disasters & Weather,Inclement Weather,"Inclement weather resulted in storm warnings, road closures, flood warnings.",3-Jan-17,2017,1,1.26292E+13,Humboldt
Kneeland Elementary,Kneeland Elementary,2017-18,13,Natural Disasters & Weather,Inclement Weather,Snow,16-Mar-18,2018,1,1.26292E+13,Humboldt
Kneeland Elementary,Kneeland Elementary,2017-18,13,Natural Disasters & Weather,Inclement Weather,Snow,2-Mar-18,2018,1,1.26292E+13,Humboldt
Kneeland Elementary,Kneeland Elementary,2018-19,13,Natural Disasters & Weather,Inclement Weather,Power Outage-weather,11-Feb-19,2019,1,1.26292E+13,Humboldt
La Canada Elementary,La Canada Unified,2011-12,607,Natural Disasters & Weather,2011 California Windstorm,S. Cal wind storm,"December 1-2, 2011",2011,2,1.96466E+13,Los Angeles
La Canada High,La Canada Unified,2011-12,2117,Natural Disasters & Weather,2011 California Windstorm,S. Cal wind storm,"December 1-2, 2011",2011,2,1.96466E+13,Los Angeles
Palm Crest Elementary,La Canada Unified,2011-12,612,Natural Disasters & Weather,2011 California Windstorm,S. Cal wind storm,"December 1-2, 2011",2011,2,1.96466E+13,Los Angeles
Paradise Canyon Elementary,La Canada Unified,2011-12,714,Natural Disasters & Weather,2011 California Windstorm,S. Cal wind storm,"December 1-2, 2011",2011,2,1.96466E+13,Los Angeles
La Honda Elementary,La Honda-Pescadero Unified,2002-03,93,Natural Disasters & Weather,Inclement Weather,Heavy storm resulted in flooding which closed many roads and no electricity made it impossible to prepare lunches and for use of restroom facilities.,16-Dec-02,2002,1,4.16894E+13,San Mateo
Pescadero Continuation High,La Honda-Pescadero Unified,2002-03,4,Natural Disasters & Weather,Inclement Weather,Heavy storm resulted in flooding which closed many roads and no electricity made it impossible to prepare lunches and for use of restroom facilities.,16-Dec-02,2002,1,4.16894E+13,San Mateo
Pescadero Elementary and Middle,La Honda-Pescadero Unified,2002-03,200,Natural Disasters & Weather,Inclement Weather,Heavy storm resulted in flooding which closed many roads and no electricity made it impossible to prepare lunches and for use of restroom facilities.,16-Dec-02,2002,1,4.16894E+13,San Mateo
Pescadero Elementary and Middle,La Honda-Pescadero Unified,2010-11,81,Natural Disasters & Weather,Tsunami,Tsunami warning,11-Mar-11,2011,1,4.16894E+13,San Mateo
Pescadero High,La Honda-Pescadero Unified,2002-03,62,Natural Disasters & Weather,Inclement Weather,Heavy storm resulted in flooding which closed many roads and no electricity made it impossible to prepare lunches and for use of restroom facilities.,16-Dec-02,2002,1,4.16894E+13,San Mateo
Pescadero High,La Honda-Pescadero Unified,2010-11,138,Natural Disasters & Weather,Tsunami,Tsunami warning,11-Mar-11,2011,1,4.16894E+13,San Mateo
Laguna Elementary,Laguna Joint Elementary,2014-15,17,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Winter storm.,11-Dec-14,2014,1,2.16534E+13,Marin
Laguna Elementary,Laguna Joint Elementary,2016-17,16,Natural Disasters & Weather,Inclement Weather,Inclement weather,7-Feb-17,2017,1,2.16534E+13,Marin
Lagunitas Elementary,Lagunitas Elementary,2014-15,185,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,2.16536E+13,Marin
